# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ2"
serial "470014042"
ip "192.168.1.33"
samplehz 50000.000000
settleus 1.000000
nsample 100000

# Analog Inputs
aichannel 1
ainegative 199
airange 10.000000
airesolution 0
aicalslope 2.500000
aicalzero 0.000000
aicalunits "uA"

distream 1
# Meta Parameters
meta float
x 12.875000
y 1.500000
theta 0.227317
r 127.000000
vwire 20.000000
standoff 12.700000

meta string
who crm
rot ccw
meta end

## End Configuration ##
#: Wed Nov 20 16:45:45 2019
-3.117033e-02	6.553500e+04
-2.643541e-02	6.553500e+04
-3.117033e-02	6.553500e+04
-1.317763e-02	6.553500e+04
-2.548843e-02	6.553500e+04
-3.180165e-02	6.553500e+04
-2.990768e-02	6.553500e+04
-2.454144e-02	6.553500e+04
-2.864504e-02	6.553500e+04
-2.170049e-02	6.553500e+04
-2.675107e-02	6.553500e+04
-2.043784e-02	6.553500e+04
-3.432694e-02	6.553500e+04
-2.643541e-02	6.553500e+04
-2.580409e-02	6.553500e+04
-1.759689e-02	6.553500e+04
-2.454144e-02	6.553500e+04
-2.611975e-02	6.553500e+04
-2.454144e-02	6.553500e+04
-2.233181e-02	6.553500e+04
-2.296313e-02	6.553500e+04
-2.296313e-02	6.553500e+04
-1.759689e-02	6.553500e+04
-2.075350e-02	6.553500e+04
-2.012218e-02	6.553500e+04
-2.959202e-02	6.553500e+04
-2.170049e-02	6.553500e+04
-2.359446e-02	6.553500e+04
-1.349329e-02	6.553500e+04
-2.233181e-02	6.553500e+04
-2.138483e-02	6.553500e+04
-2.454144e-02	6.553500e+04
-1.728123e-02	6.553500e+04
-2.580409e-02	6.553500e+04
-1.854387e-02	6.553500e+04
-1.949086e-02	6.553500e+04
-1.065234e-02	6.553500e+04
-2.580409e-02	6.553500e+04
-1.885954e-02	6.553500e+04
-1.949086e-02	6.553500e+04
-1.980652e-02	6.553500e+04
-1.696557e-02	6.553500e+04
-1.980652e-02	6.553500e+04
-2.675107e-02	6.553500e+04
-1.949086e-02	6.553500e+04
-3.211731e-02	6.553500e+04
-3.022335e-02	6.553500e+04
-2.264747e-02	6.553500e+04
-1.601858e-02	6.553500e+04
-2.517276e-02	6.553500e+04
-2.359446e-02	6.553500e+04
-2.296313e-02	6.553500e+04
-2.201615e-02	6.553500e+04
-1.349329e-02	6.553500e+04
-1.286197e-02	6.553500e+04
-1.633424e-02	6.553500e+04
-1.128366e-02	6.553500e+04
-1.507160e-02	6.553500e+04
-1.696557e-02	6.553500e+04
-1.380895e-02	6.553500e+04
-1.002102e-02	6.553500e+04
-3.392127e-03	6.553500e+04
-1.412461e-02	6.553500e+04
-1.601858e-02	6.553500e+04
-2.075350e-02	6.553500e+04
-1.601858e-02	6.553500e+04
-1.696557e-02	6.553500e+04
-1.065234e-02	6.553500e+04
-5.917418e-03	6.553500e+04
-8.758371e-03	6.553500e+04
-2.485710e-02	6.553500e+04
-1.696557e-02	6.553500e+04
-1.380895e-02	6.553500e+04
-1.444028e-02	6.553500e+04
3.958863e-04	6.553500e+04
-1.159932e-02	6.553500e+04
-2.012218e-02	6.553500e+04
-1.254631e-02	6.553500e+04
-2.138483e-02	6.553500e+04
-1.444028e-02	6.553500e+04
-1.380895e-02	6.553500e+04
-6.233079e-03	6.553500e+04
-1.885954e-02	6.553500e+04
-1.791255e-02	6.553500e+04
-1.664991e-02	6.553500e+04
-2.075350e-02	6.553500e+04
-1.033668e-02	6.553500e+04
-4.023450e-03	6.553500e+04
-1.601858e-02	6.553500e+04
-1.412461e-02	6.553500e+04
-1.601858e-02	6.553500e+04
-9.074032e-03	6.553500e+04
-1.254631e-02	6.553500e+04
-7.495725e-03	6.553500e+04
-7.495725e-03	6.553500e+04
-1.412461e-02	6.553500e+04
-1.601858e-02	6.553500e+04
-1.317763e-02	6.553500e+04
-1.033668e-02	6.553500e+04
-1.159932e-02	6.553500e+04
-4.654773e-03	6.553500e+04
-8.127048e-03	6.553500e+04
-1.159932e-02	6.553500e+04
-1.664991e-02	6.553500e+04
-8.127048e-03	6.553500e+04
-9.389694e-03	6.553500e+04
-2.129481e-03	6.553500e+04
-6.864402e-03	6.553500e+04
-6.864402e-03	6.553500e+04
2.605943e-03	6.553500e+04
-9.389694e-03	6.553500e+04
-6.548741e-03	6.553500e+04
-1.813820e-03	6.553500e+04
-8.442709e-03	6.553500e+04
-1.813820e-03	6.553500e+04
-2.445143e-03	6.553500e+04
-1.159932e-02	6.553500e+04
-1.633424e-02	6.553500e+04
4.184555e-03	6.553500e+04
